"";"gender";"age";"hours";"evaluation";"salary";"status"
"52";"male";22,9199847672135;64,9568391874823;3;2;"promoted"
"53";"female";34,925162224099;44,6041879887257;2;2;"ok"
"55";"male";40,1456243451685;41,9921864179562;2;0;"fired"
"56";"male";43,187104947865;49,8625637429776;2;4;"ok"
"57";"female";33,4491170104593;35,1252439332515;5;1;"fired"
"59";"female";55,7972554676235;35,2386995079433;5;5;"promoted"
"61";"male";32,7023162040859;49,6961615373231;2;1;"ok"
"62";"male";47,7952713984996;38,9042992561724;2;0;"fired"
"63";"female";39,7327811643481;35,3415435669591;2;2;"ok"
"64";"female";53,7522989418358;38,6153841187738;2;3;"ok"
"65";"female";36,798401735723;42,8464929145175;2;2;"fired"
"66";"female";46,1626099422574;57,3829317249584;2;2;"promoted"
"67";"female";44,0548112243414;63,4928917172109;4;0;"fired"
"70";"male";40,1822016574442;37,4037394578284;2;2;"fired"
"72";"female";39,5391147676855;70,2232180911094;4;1;"promoted"
"74";"female";30,5223584920168;58,7093369600182;5;3;"promoted"
"75";"male";41,7927992716432;63,0956178172303;5;2;"promoted"
"76";"female";20,5282687488943;46,5545400066795;5;4;"ok"
"77";"male";56,055027237162;47,4198289369849;2;1;"ok"
"78";"female";57,5882633868605;47,4048125674192;2;4;"ok"
"79";"female";46,0859482176602;56,0038042477318;4;2;"promoted"
"80";"male";21,8694941326976;57,8591985218977;4;3;"promoted"
"81";"female";43,8872166257352;62,5519852375592;3;2;"ok"
"82";"female";52,7649119589478;56,4096253879822;3;3;"ok"
"83";"female";23,2937430776656;37,3720450838942;2;0;"fired"
"84";"female";46,5929034817964;73,1083400279191;5;2;"promoted"
"85";"male";57,451430009678;35,939133554952;4;1;"fired"
"86";"male";41,3951421994716;39,6136682054788;3;3;"fired"
"87";"male";38,6118448153138;49,2923531820161;2;2;"ok"
"88";"male";37,8341348655522;41,8050668925173;3;5;"fired"
"89";"male";44,9182990752161;40,6456527304203;4;2;"promoted"
"91";"female";40,6581923272461;54,3693600074916;5;3;"promoted"
"92";"male";25,0437502749264;38,2943200741453;3;2;"ok"
"93";"female";52,6482690963894;46,0294422891125;4;1;"ok"
"94";"female";23,5524464864284;42,7419970245524;3;5;"fired"
"96";"male";24,404281117022;38,9732190187182;4;0;"fired"
"97";"female";26,1588290520012;48,0426100713146;5;4;"promoted"
"98";"male";57,1245654951781;38,2512591124978;2;1;"fired"
"101";"female";53,484370559454;52,0208475137945;4;3;"promoted"
"102";"male";47,814648412168;63,1894837276232;4;2;"promoted"
"104";"female";35,5848373286426;35,8328919592115;4;0;"fired"
"106";"female";36,0556459240615;41,124071205098;3;4;"fired"
"107";"male";38,0201098322868;57,3067440311592;5;1;"promoted"
"109";"male";28,7031669262797;35,9651076575852;4;2;"ok"
"111";"female";59,2250666767359;42,2985861042615;2;3;"fired"
"112";"male";57,0172808505595;55,1961417499209;4;3;"promoted"
"113";"female";38,0151339620352;66,3652352264751;2;2;"ok"
"114";"female";33,257948635146;37,0547067583654;3;4;"fired"
"115";"female";41,4123669080436;54,1786106425366;2;3;"ok"
"116";"female";47,556642210111;36,7288497097205;4;1;"promoted"
"117";"male";24,5877111330628;77,9990774242596;3;3;"promoted"
"118";"female";24,0477585606277;66,7228998215515;4;4;"promoted"
"120";"male";27,7064737863839;43,6908891991712;5;2;"promoted"
"121";"female";56,6835966613144;38,2610961441439;5;3;"ok"
"122";"male";34,4145047012717;39,8169436152153;3;1;"ok"
"123";"male";31,3631867151707;41,3755946814595;4;2;"promoted"
"124";"female";37,8266286291182;77,681243894773;3;3;"promoted"
"126";"male";21,2249221373349;75,892041819049;3;4;"promoted"
"127";"female";35,785342361778;35,7906128579709;4;4;"promoted"
"128";"female";25,6946287024766;56,1194351868847;5;5;"promoted"
"129";"female";47,8255633171648;49,2460290485232;3;2;"ok"
"130";"male";24,7179395332932;37,4198376125686;2;0;"fired"
"132";"male";30,5208958685398;40,9839792802585;3;5;"fired"
"134";"male";23,4727662615478;40,1441668904817;3;5;"fired"
"135";"male";28,1121070962399;71,4335531217429;3;3;"ok"
"136";"female";38,0670361220837;35,3130282491886;3;5;"fired"
"137";"female";27,6042078156024;44,5678612631313;3;4;"fired"
"138";"male";42,1845493931323;41,1066433474462;3;2;"ok"
"139";"female";24,8830250743777;39,3625449897912;3;5;"fired"
"140";"female";28,6857421509922;47,321163934957;3;0;"fired"
"141";"male";29,5523637253791;35,2747572232793;4;3;"ok"
"142";"male";30,8525314088911;63,5788158702201;5;3;"promoted"
"143";"female";51,3397907558829;39,4961358505959;2;5;"fired"
"144";"male";25,2867662534118;54,735679010075;4;0;"promoted"
"146";"female";32,3862384073436;56,1864694445841;4;3;"promoted"
"148";"male";54,9572814628482;36,7024369444561;2;3;"fired"
"149";"male";25,2720187045634;35,254080721995;4;5;"fired"
"150";"male";48,6076686531305;40,7608256924302;2;1;"fired"
"153";"female";35,1955875195563;47,6492449176688;5;4;"promoted"
"154";"male";44,5786618534476;35,94743002235;3;4;"fired"
"155";"male";57,5989430490881;77,5696664079257;5;3;"promoted"
"156";"male";34,4768449757248;35,2536972713645;3;0;"fired"
"158";"female";56,3631661608815;39,1505350159258;3;5;"ok"
"159";"male";39,351297551766;53,279793820277;3;1;"promoted"
"160";"female";46,4669822901487;35,5609553352753;3;5;"fired"
"163";"male";23,8778836559504;36,2330978151501;3;3;"ok"
"164";"female";46,4950419683009;36,1311582996412;4;4;"promoted"
"166";"male";20,1202674396336;77,668410758029;3;0;"ok"
"167";"female";51,3502483535558;43,4377326925892;3;1;"fired"
"170";"male";23,057293696329;38,4519897061765;3;0;"fired"
"171";"female";22,710573496297;50,6604400338427;2;5;"fired"
"172";"male";51,3480158429593;43,9762173799791;2;0;"fired"
"173";"male";53,6677240487188;35,0665046534637;4;3;"fired"
"174";"male";22,7372435852885;67,042329659323;3;5;"fired"
"175";"male";25,2562924940139;55,4574872819648;3;3;"promoted"
"176";"male";58,7874699849635;35,8957413796779;2;2;"fired"
"177";"female";35,2550293598324;72,8505718210833;4;0;"promoted"
"178";"female";37,6332768052816;67,2335080545489;3;1;"promoted"
"179";"female";37,4470238294452;59,145630718071;3;0;"fired"
"181";"female";53,6270236968994;79,4572940153085;3;4;"promoted"
"182";"female";48,3702716976404;40,4951254872233;4;4;"ok"
"183";"female";58,022280856967;68,0902693392787;2;0;"fired"
"184";"male";47,7830416802317;51,526967189986;4;3;"ok"
"185";"male";59,0519895311445;42,3509264345115;5;1;"fired"
"186";"female";44,658455112949;40,7980565109256;3;5;"fired"
"187";"female";42,7108208090067;35,0484414747346;3;1;"ok"
"189";"male";36,7283682525158;35,7845853072739;2;2;"fired"
"190";"female";41,9841082207859;52,4192214810542;3;1;"ok"
"191";"male";32,4114010296762;35,6555737980611;3;0;"fired"
"192";"male";39,6826163027436;37,4105936043997;4;1;"fired"
"193";"male";47,0585988927633;48,6212104650953;2;0;"fired"
"194";"female";45,0776134897023;76,7011187410014;5;4;"promoted"
"196";"male";28,983585415408;39,5924323812696;2;5;"fired"
"197";"male";33,6715086363256;46,7123014525505;5;2;"promoted"
"198";"female";39,6481204871088;52,3327969901236;3;1;"ok"
"199";"male";29,5637194160372;48,8239610627656;3;3;"ok"
"200";"female";28,0109294876456;39,2855115642942;5;1;"fired"
"202";"male";50,2975364588201;38,9299562075773;4;2;"fired"
"203";"male";34,1105381213129;76,1894007363626;2;2;"promoted"
"205";"male";20,6773124821484;40,1402151310413;4;3;"ok"
"207";"male";29,1063493210822;40,9622350620601;5;4;"fired"
"208";"male";53,5669376887381;38,7385137601725;4;5;"fired"
"211";"female";22,8660462424159;61,1036817731318;3;4;"ok"
"212";"female";29,2544122226536;42,8646564376645;2;3;"ok"
"214";"male";59,5792353339493;71,8529455382686;2;0;"fired"
"215";"female";57,475981079042;41,9370932065505;3;5;"ok"
"216";"female";45,1843132358044;43,8021195246822;5;3;"promoted"
"217";"male";34,7827455494553;37,9923597471457;3;5;"fired"
"219";"female";43,3103785756975;77,8461556556908;4;4;"promoted"
"222";"female";56,6560893878341;37,5927220135669;4;4;"ok"
"223";"female";43,2338114641607;37,7440568728448;4;3;"promoted"
"224";"male";58,2832585740834;70,3104128659358;5;2;"promoted"
"225";"male";48,6562360264361;46,0743804797211;4;4;"promoted"
"227";"female";38,0535677447915;42,0498490323023;3;4;"fired"
"228";"male";24,2917347978801;49,7208271865973;3;2;"ok"
"229";"male";28,236597860232;49,9801175116841;4;4;"promoted"
"230";"female";49,2169014178216;65,8881019704595;4;3;"promoted"
"231";"male";20,483805257827;40,4045703197415;4;1;"ok"
"232";"female";46,2344051338732;48,5064292331685;4;3;"promoted"
"233";"female";28,7841974198818;55,511202257472;5;4;"promoted"
"234";"male";40,9786404389888;50,3355319395523;2;3;"ok"
"237";"female";58,6275464762002;54,0529972389843;4;5;"promoted"
"238";"female";33,144265441224;53,0075713164374;2;4;"ok"
"239";"male";32,121766647324;42,7117440217477;2;2;"fired"
"240";"female";41,2348898127675;47,9845334380533;4;4;"promoted"
"241";"male";29,1482607182115;59,4786955722431;4;1;"promoted"
"242";"female";37,247906466946;51,5812069882011;5;4;"promoted"
"243";"female";31,6282795928419;48,8258516201226;2;5;"fired"
"244";"female";52,0601798593998;60,5338507666395;2;0;"ok"
"246";"male";33,1833204533905;51,6637251721356;2;0;"fired"
"247";"male";24,7883293032646;68,8215142270769;2;3;"promoted"
"248";"male";52,2519261483103;45,5510462829256;2;2;"promoted"
"249";"female";45,1385899726301;44,8701015911944;4;3;"ok"
"250";"male";29,137767655775;62,5107748117996;5;4;"promoted"
"251";"female";39,3793334066868;35,1361728388771;4;3;"ok"
"252";"male";38,3080959599465;35,9096876077169;2;4;"fired"
"253";"male";29,3065294623375;66,1067874733672;3;0;"ok"
"254";"female";46,1006127391011;41,9150635897809;2;3;"fired"
"255";"female";59,8774527199566;36,8596174250459;3;1;"fired"
"256";"female";39,8468447476625;51,8902847353613;2;5;"fired"
"259";"female";24,0969951450825;38,5544434370582;3;4;"fired"
"260";"female";33,5084290336818;59,1696585247322;3;2;"promoted"
"261";"male";47,533933930099;53,2225062221656;3;2;"promoted"
"262";"female";38,8056471757591;58,512320773862;5;2;"promoted"
"264";"female";41,0148281417787;37,0323080178696;5;3;"promoted"
"265";"female";40,7394724339247;47,4406222566092;4;1;"promoted"
"266";"female";44,9609196279198;49,7366646785166;2;3;"ok"
"267";"female";58,5830577090383;62,2059870769149;5;1;"promoted"
"268";"male";25,6466774083674;76,0276502306821;4;4;"promoted"
"270";"male";34,2771684844047;35,9445659753511;2;5;"fired"
"271";"female";39,0122486557811;59,9359878187591;4;0;"fired"
"272";"male";22,8771549742669;48,4755893116773;4;5;"fired"
"273";"male";32,0955971069634;37,509237041594;3;0;"fired"
"274";"male";25,6616850942373;44,7508799617694;3;2;"ok"
"275";"female";57,7751220297068;59,9192412909128;3;1;"ok"
"277";"female";53,1843360606581;45,4003450273891;3;4;"promoted"
"278";"male";21,9582661613822;68,2904368103096;3;1;"promoted"
"279";"male";52,2941776551306;68,5910471509351;3;3;"ok"
"280";"female";56,6613438166678;79,3333405985651;3;5;"promoted"
"281";"male";45,7026043534279;57,8804277180275;4;4;"promoted"
"283";"female";57,8376619704068;55,2508552084828;2;3;"ok"
"284";"male";44,1374701913446;36,9437071875698;3;4;"fired"
"285";"male";36,8556693289429;57,4937818074176;3;4;"ok"
"286";"female";48,1392860878259;53,8528186452353;2;0;"fired"
"288";"female";31,9387965928763;37,7885223195552;3;3;"fired"
"289";"female";21,8550028000027;79,948054073152;2;3;"promoted"
"291";"male";58,044720608741;35,1139528556527;4;2;"promoted"
"292";"female";20,5207757744938;52,069968917956;2;3;"fired"
"295";"male";47,3441713768989;38,2002062916474;3;0;"fired"
"297";"female";41,5982169285417;36,2104422266311;2;2;"ok"
"298";"female";47,3670404404402;51,2698012933798;3;5;"fired"
"299";"male";33,7086436711252;40,5164372455866;3;3;"ok"
"300";"male";36,9963277317584;42,7536302805076;2;4;"fired"
"301";"female";54,7831146325916;42,2944858972623;3;0;"fired"
"302";"female";37,1095477603376;40,1740520577817;3;5;"fired"
"303";"male";36,5736207738519;57,2940169130152;3;1;"ok"
"304";"female";46,3869058992714;63,3623398601651;2;1;"ok"
"305";"male";40,6155288405716;59,1474442401423;3;2;"ok"
"306";"female";35,2191926818341;42,3172043392655;4;3;"ok"
"307";"male";36,7864749394357;54,8707313423628;2;1;"ok"
"311";"male";43,804517230019;35,5688011848146;4;1;"fired"
"312";"male";28,4978926833719;58,5232108172966;3;1;"promoted"
"314";"female";25,6867518275976;57,777322458217;5;3;"promoted"
"316";"female";48,7226722110063;42,2158195276169;2;2;"fired"
"317";"male";20,1126884389669;55,9713706061926;5;4;"promoted"
"318";"male";36,4950603991747;36,8934216001804;4;4;"fired"
"319";"male";58,6191239394248;35,000991575049;3;5;"fired"
"320";"male";47,9135205596685;42,2658961998179;2;2;"ok"
"321";"female";58,5801828373224;58,8089263202283;5;3;"promoted"
"323";"male";34,6636622305959;36,2347814109975;5;2;"ok"
"324";"female";25,5412742588669;38,3030575847131;3;3;"fired"
"325";"male";34,2643705476075;45,0977419483039;2;2;"ok"
"326";"male";38,9958112034947;35,8444051679793;3;2;"ok"
"327";"female";27,311402708292;56,4501570193729;5;3;"promoted"
"328";"male";48,8943651132286;44,0234860447911;4;2;"fired"
"330";"female";46,7961594648659;62,5683060386636;2;1;"ok"
"331";"female";56,3430189527571;39,6262137687249;3;5;"fired"
"333";"male";38,091068258509;35,0225766905271;2;0;"fired"
"334";"female";56,1713819392025;69,5676793937137;4;5;"promoted"
"335";"female";39,8490971233696;56,8245821545914;2;2;"ok"
"336";"female";26,0312145669013;37,9341045551494;3;1;"fired"
"337";"female";52,8802989143878;42,7713965589607;3;2;"fired"
"338";"male";38,0519249942154;39,3758997665161;3;1;"fired"
"340";"male";59,3935077730566;69,3866945902537;3;2;"ok"
"341";"female";56,2235338240862;39,2095215994963;4;1;"promoted"
"343";"male";51,4052756410092;62,9338475111762;4;3;"promoted"
"344";"female";49,9659365881234;69,193100114157;4;1;"promoted"
"345";"male";56,4751053787768;57,6822463079854;4;4;"promoted"
"346";"female";33,401538701728;64,7791285572016;4;4;"promoted"
"348";"female";47,5529794208705;53,1599036247784;4;2;"ok"
"351";"male";40,9868028573692;49,7202291350296;3;3;"promoted"
"353";"male";53,3231762330979;36,5096297152318;4;3;"fired"
"354";"male";50,5703283753246;52,6209190724472;3;4;"promoted"
"356";"male";26,9870588369668;35,0537858377434;3;4;"ok"
"357";"male";37,8309851605445;53,014287194107;3;4;"ok"
"358";"female";41,9481734745204;71,4081118009154;4;5;"promoted"
"359";"male";35,4288599081337;35,7596328866614;3;3;"ok"
"360";"female";49,4221328478307;35,3379277874994;3;3;"fired"
"361";"female";36,6524116694927;57,3238416474726;2;3;"ok"
"362";"female";43,2326224260032;54,4393450487015;5;2;"promoted"
"363";"male";50,0901961233467;37,6509628158657;3;4;"ok"
"365";"male";50,5115956068039;60,5074484483828;2;4;"ok"
"366";"female";30,4250775370747;37,3084297257789;3;5;"fired"
"367";"female";38,9915338344872;75,3845157207537;4;3;"promoted"
"368";"female";53,6174027156085;36,6341229200884;3;1;"ok"
"369";"male";22,2834119480103;35,4082796535716;4;4;"fired"
"370";"male";31,4215074852109;35,0433678277755;3;0;"fired"
"371";"male";57,3346006311476;42,6132888024692;2;5;"fired"
"372";"male";35,7317496743053;42,0140149844144;2;0;"fired"
"373";"male";26,7700141295791;65,0247696682722;2;4;"promoted"
"374";"female";49,6817434206605;41,772395816014;2;2;"ok"
"375";"male";57,8995300270617;44,163627408382;2;5;"fired"
"376";"male";45,2530143875629;79,8380590389405;5;3;"promoted"
"378";"male";46,9276623614132;39,1915088993065;2;0;"fired"
"379";"male";58,452508514747;64,4022287956628;3;5;"fired"
"381";"female";41,51666181162;77,7246394700649;5;3;"promoted"
"382";"female";47,138711316511;44,1328698886411;2;4;"fired"
"383";"male";46,9228121358901;67,9315244943769;2;5;"fired"
"384";"female";21,6640507895499;47,7652022219107;2;2;"fired"
"385";"female";32,0591208897531;77,3362261535016;3;4;"ok"
"386";"female";53,9502595178783;35,024521072372;2;3;"ok"
"388";"female";41,877210997045;69,7312418997692;4;5;"promoted"
"389";"male";51,1907057370991;43,7719763298227;2;4;"fired"
"390";"male";39,5813070889562;35,8740445581531;2;3;"fired"
"391";"male";44,9016813002527;40,972585781409;2;3;"ok"
"392";"female";41,3029545173049;35,3305471603311;3;5;"fired"
"393";"male";48,7688438314945;35,1079392584894;3;1;"fired"
"394";"male";20,5392257124186;47,2675025085147;2;1;"ok"
"395";"female";33,7389734946191;39,2661012919398;5;3;"fired"
"396";"male";56,172527289018;55,2119910638969;3;3;"fired"
"397";"female";22,0123614184558;60,3187159137528;2;2;"ok"
"398";"female";34,1791056189686;63,9020150978111;4;4;"promoted"
"399";"female";40,4314923286438;53,7377224679391;2;5;"fired"
"400";"male";48,0106685589999;35,0082262159837;5;0;"fired"
"401";"female";47,9551626462489;35,0115015026244;2;2;"fired"
"402";"female";50,7027793861926;46,422786620267;4;4;"promoted"
"403";"female";45,1152557879686;67,513828174108;5;4;"promoted"
"404";"male";22,9030139558017;39,6694676985768;5;3;"promoted"
"405";"male";36,2016945891082;55,8696057437463;5;4;"promoted"
"406";"male";39,4561276119202;59,1955047718857;2;1;"ok"
"407";"male";34,0503927320242;53,5206680607921;2;0;"ok"
"408";"male";23,1094937771559;35,0098874150059;5;1;"promoted"
"409";"male";47,1037286613137;36,7475524114769;4;2;"ok"
"410";"female";31,2516409810632;63,4341033626789;5;5;"promoted"
"411";"male";44,2619056813419;47,5246713794881;5;5;"fired"
"412";"female";42,2372727841139;70,7111643961811;4;0;"promoted"
"413";"male";43,6466496251523;48,9209160470434;4;4;"promoted"
"415";"female";22,8131112176925;53,5390429164855;2;4;"fired"
"416";"male";33,9983838796616;68,328484063143;4;3;"promoted"
"417";"female";41,5542763285339;49,9847793894702;3;3;"promoted"
"420";"male";35,7041300740093;37,8042265385297;2;3;"ok"
"422";"female";23,954548696056;78,3869214134401;2;2;"promoted"
"423";"male";53,1123725231737;66,8177444040504;2;0;"fired"
"425";"female";26,3273023348302;56,4216905591425;2;3;"ok"
"426";"male";49,915232444182;67,3844311862808;3;2;"promoted"
"428";"male";40,0958125013858;35,4488950398869;3;2;"fired"
"429";"male";37,815162492916;51,4824190756128;4;5;"promoted"
"430";"female";29,6218843013048;35,4884413058055;3;1;"ok"
"433";"female";57,9661377053708;45,7737661379364;3;4;"promoted"
"434";"male";32,78539522551;71,1726834591954;3;4;"promoted"
"435";"male";31,5204073674977;35,6877030691736;3;5;"fired"
"436";"female";24,943141201511;35,3210563451935;3;4;"fired"
"439";"female";50,6201067660004;50,4813861621486;3;0;"ok"
"440";"female";36,7061144206673;35,0001693895001;2;5;"fired"
"441";"female";23,9929417334497;56,3179541132204;2;1;"ok"
"442";"female";57,1952957008034;35,5038587899901;5;3;"promoted"
"443";"female";32,1484437119216;72,4597961505308;2;0;"fired"
"444";"female";29,5402214862406;67,7626304508928;5;1;"promoted"
"445";"male";22,585094505921;48,1333815749412;5;4;"promoted"
"446";"female";38,5381106287241;43,3527835007428;2;4;"ok"
"447";"female";21,2442369945347;37,1384882064236;5;5;"fired"
"449";"female";55,2434292063117;63,1010471959239;4;0;"promoted"
"450";"male";26,6381146665663;70,5902672528398;3;3;"promoted"
"451";"male";51,8695554882288;37,9476791818901;3;5;"fired"
"452";"male";32,0742034818977;75,4067865051203;4;2;"promoted"
"453";"male";22,0366525743157;36,1445622543265;2;1;"ok"
"454";"male";36,8887706939131;35,0101937299449;5;2;"ok"
"455";"male";52,2941107489169;37,0405476364893;4;5;"fired"
"456";"male";46,8614527117461;65,3447862774897;4;2;"promoted"
"457";"female";24,9680618196726;43,4361845553066;2;3;"fired"
"458";"female";49,501422457397;37,7329743636114;5;3;"promoted"
"459";"female";59,3967036623508;59,369177963761;2;1;"ok"
"460";"female";31,9353657681495;35,1151259224996;3;5;"fired"
"462";"female";33,8054779637605;36,2264660023286;5;1;"fired"
"463";"male";25,0529758352786;38,3625483712833;3;2;"ok"
"464";"female";23,8880026340485;67,7232726070876;2;2;"promoted"
"466";"female";32,6780554372817;51,7521277628958;3;5;"fired"
"468";"female";30,5193374492228;67,1966183027761;3;2;"ok"
"470";"female";41,3462369330227;43,0033360053758;5;1;"promoted"
"471";"male";23,0687253363431;76,8338117708244;4;3;"promoted"
"472";"female";41,2350582517684;52,5864530009597;2;4;"ok"
"473";"female";38,4305537864566;35,4593798700001;3;3;"fired"
"474";"female";42,6449174620211;70,1773611585008;2;5;"ok"
"476";"male";51,8916982412338;43,5419116310753;3;2;"fired"
"477";"male";24,2565213050693;45,6797668923071;5;0;"ok"
"478";"female";41,1841254495084;53,671216033532;4;3;"promoted"
"479";"male";27,7797872107476;64,0981540200625;2;0;"ok"
"481";"female";36,035095853731;60,9919150056938;4;1;"promoted"
"484";"female";21,4457038603723;72,3919424809347;3;4;"fired"
"485";"male";37,8530673030764;35,1357030100671;2;3;"ok"
"487";"female";25,520606059581;44,7920434647752;2;0;"fired"
"488";"female";48,414619686082;37,7954770925123;5;4;"ok"
"490";"male";39,2679598089308;49,2947280588687;2;2;"ok"
"491";"male";35,7916654273868;57,3801245485717;5;4;"promoted"
"492";"male";24,4710839353502;70,0115200122409;5;5;"promoted"
"494";"female";52,8899534512311;61,6703433339933;2;0;"fired"
"495";"female";22,4781939573586;35,4541122484282;2;5;"fired"
"496";"female";33,6674416344613;35,0185556774546;2;5;"fired"
"497";"female";29,163251677528;35,0023809287454;5;4;"fired"
"498";"male";52,6634542457759;37,4432745876621;5;1;"fired"
"499";"female";32,6934139057994;42,9335182111085;2;5;"fired"
"500";"female";48,0174603685737;71,098139688985;4;4;"promoted"
"501";"male";33,453739695251;35,4344050163905;4;4;"promoted"
"502";"female";42,3360523860902;54,7865452298198;4;4;"promoted"
"503";"male";46,6766438633204;46,9024581742054;4;2;"fired"
"504";"male";45,7480212207884;56,9141024483475;2;5;"fired"
"505";"male";49,0726466663182;35,8620503655486;5;0;"fired"
"507";"female";24,0692660585046;41,94190123038;4;0;"fired"
"508";"male";21,5766637120396;38,8125286761552;3;3;"ok"
"510";"male";25,7817396707833;35,2609667843108;2;1;"ok"
"514";"male";33,5935819335282;46,029986337803;2;0;"fired"
"515";"male";24,005029052496;68,1587965556537;4;2;"promoted"
"516";"female";40,8342653978616;43,5131446227197;2;2;"fired"
"517";"male";34,3003106210381;73,6828863515554;3;2;"promoted"
"518";"male";41,5854401141405;37,3494774595607;5;5;"fired"
"519";"male";40,6305030919611;46,2346180255817;2;2;"ok"
"520";"female";48,9442704990506;38,0711125445148;3;1;"fired"
"521";"female";47,6599108614028;47,6972161613565;2;0;"fired"
"522";"female";21,4244448207319;41,8567298848259;3;1;"fired"
"523";"male";37,1931023988873;55,7655545251269;5;1;"promoted"
"524";"male";20,127012161538;76,0289790264912;4;3;"promoted"
"527";"male";39,8544661700726;35,0099604680226;3;2;"fired"
"528";"male";28,1029439158738;35,1590472703884;2;3;"ok"
"529";"female";25,3910130821168;77,9828164500599;3;1;"promoted"
"531";"male";51,0640998370945;35,14599013231;2;4;"ok"
"532";"male";32,9395404271781;35,0360535089615;3;5;"fired"
"533";"female";52,8449653461576;44,5152332086445;2;4;"ok"
"534";"female";33,2200961001217;35,239604205628;5;0;"fired"
"535";"male";58,0747622810304;44,3491287646778;4;5;"fired"
"536";"female";49,1233648452908;35,0000345349791;5;1;"promoted"
"537";"female";27,5037689041346;37,7373739633865;3;3;"fired"
"538";"female";30,7852267101407;74,9966225881236;3;0;"fired"
"539";"female";20,9189083054662;76,8507036619319;3;2;"promoted"
"540";"male";43,173322128132;36,7047879014671;5;4;"promoted"
"542";"male";38,3376438077539;37,1080047268663;2;1;"fired"
"544";"female";41,2575957551599;35,2683633864458;5;1;"fired"
"545";"female";36,3196652475744;46,6067991982739;2;1;"ok"
"546";"male";23,7724656704813;37,6537722542736;3;3;"fired"
"547";"female";37,1882340591401;37,6917486073423;3;3;"fired"
"548";"female";52,5131888221949;44,7804788638558;2;3;"ok"
"549";"male";44,5234522875398;56,514262144987;4;2;"promoted"
"550";"female";53,3971685171127;38,8574691608031;4;1;"fired"
"552";"male";27,3662730958313;64,9628315857288;2;4;"promoted"
"553";"female";32,3937056586146;78,7992300254662;4;1;"promoted"
"554";"male";34,0725458785892;35,0785630563026;3;1;"fired"
"556";"male";27,0655851159245;79,2650751558786;3;3;"ok"
"557";"male";34,4993725325912;54,3337732382239;2;3;"ok"
"558";"female";52,7153254952282;68,4988585553281;2;0;"ok"
"559";"female";44,0108084212989;77,6978858046865;2;0;"fired"
"560";"female";45,4782500769943;43,6910044030885;2;1;"fired"
"561";"female";52,7578597795218;45,7219819610696;4;3;"promoted"
"562";"female";46,1187039315701;37,1479166805293;2;4;"fired"
"563";"female";33,6841374915093;39,2137143324725;4;2;"fired"
"566";"female";59,7391660325229;63,8601606301462;4;0;"promoted"
